Time;Temp;Pres
00.00;7.22;1013.21
00.15;7.22;1013.21
00.30;7.22;1013.21
00.45;7.22;1013.21
01.00;7.22;1013.21
01.15;6.109999999999999;1012.7
01.30;5.0;1012.19
01.45;5.555;1012.19
02.00;6.11;1012.19
02.15;6.11;1012.19
02.30;6.11;1012.19
02.45;6.11;1012.19
03.00;6.11;1012.19
03.15;5.555;1012.19
03.30;5.0;1012.19
03.45;5.0;1011.85
04.00;5.0;1011.51
04.15;4.445;1011.51
04.30;3.89;1011.51
04.45;3.335;1011.51
05.00;2.78;1011.51
05.15;3.335;1011.51
05.30;3.89;1011.51
05.45;3.89;1011.51
06.00;3.89;1011.51
06.15;3.335;1011.51
06.30;2.78;1011.51
06.45;3.335;1011.51
07.00;3.89;1011.51
07.15;4.445;1011.51
07.30;5.0;1011.51
07.45;6.109999999999999;1011.005
08.00;7.22;1010.5
08.15;8.055;1010.5
08.30;8.89;1010.5
08.45;10.0;1010.5
09.00;11.11;1010.5
09.15;11.945;1010.5
09.30;12.78;1010.5
09.45;13.335;1010.5
10.00;13.89;1010.5
10.15;14.445;1010.5
10.30;15.0;1010.5
10.45;15.555;1010.5
11.00;16.11;1010.5
11.15;16.665;1010.5
11.30;17.22;1010.5
11.45;17.5;1010.5
12.00;17.78;1010.5
12.15;18.335;1009.99
12.30;18.89;1009.48
12.45;18.89;1009.48
13.00;18.89;1009.48
13.15;18.89;1009.48
13.30;18.89;1009.48
13.45;18.89;1009.48
14.00;18.89;1009.48
14.15;19.445;1009.48
14.30;20.0;1009.48
14.45;20.0;1008.975
15.00;20.0;1008.47
15.15;20.0;1008.47
15.30;20.0;1008.47
15.45;20.0;1007.96
16.00;20.0;1007.45
16.15;20.0;1007.45
16.30;20.0;1007.45
16.45;19.445;1007.45
17.00;18.89;1007.45
17.15;18.89;1007.45
17.30;18.89;1007.45
17.45;18.335;1007.45
18.00;17.78;1007.45
18.15;17.5;1007.45
18.30;17.22;1007.45
18.45;16.665;1007.45
19.00;16.11;1007.45
19.15;15.555;1006.94
19.30;15.0;1006.43
19.45;15.0;1006.43
20.00;15.0;1006.43
20.15;14.445;1006.43
20.30;13.89;1006.43
20.45;13.335;1006.43
21.00;12.78;1006.43
21.15;12.78;1006.43
21.30;12.78;1006.43
21.45;12.5;1006.43
22.00;12.22;1006.43
22.15;12.22;1006.43
22.30;12.22;1006.43
22.45;12.22;1006.43
23.00;12.22;1006.43
23.15;11.665;1006.43
23.30;11.11;1006.43
